website|weeknumber|activity_level_label|url|season|statename|activity_level|weekend
Influenza|11|Minimal|http://www.ndflu.com/default.aspx|2013-14|North Dakota|1|Mar-15-2014
Influenza Information|11|Minimal|http://www.flu.ohio.gov |2013-14|Ohio|1|Mar-15-2014
Influenza Disease Surveillance Data|11|Minimal|http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx|2013-14|Oregon|1|Mar-15-2014
Influenza Weekly Report |11|Minimal|http://www.flufreepa.com|2013-14|Pennsylvania|1|Mar-15-2014
Influenza Surveillance|11|Minimal|http://www.health.ri.gov/data/flu/index.php|2013-14|Rhode Island|1|Mar-15-2014
Influenza Activity and Surveillance|11|Minimal|http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/|2013-14|South Carolina|1|Mar-15-2014
Influenza Information|11|Minimal|http://doh.sd.gov/diseases/infectious/flu/default.aspx|2013-14|South Dakota|1|Mar-15-2014
Influenza-Like Illness Surveillance Summary Archive|11|Minimal|http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html|2013-14|Tennessee|1|Mar-15-2014
Influenza Control and Surveillance|11|Minimal|http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm|2013-14|New Hampshire|1|Mar-15-2014
Influenza Update|11|Minimal|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2013-14|Washington|1|Mar-15-2014
Current Influenza Surveillance|11|Minimal|http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx|2013-14|West Virginia|1|Mar-15-2014
Influenza|10|Minimal|https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/influenza/influenza-reports/|2013-14|Wyoming|1|Mar-08-2014
Influenza|11|Minimal|https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/influenza/influenza-reports/|2013-14|Wyoming|1|Mar-15-2014
Weekly Influenza Surveillance Reports|11|Minimal|http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html |2013-14|Florida|1|Mar-15-2014
Weekly Influenza Surveillance in Georgia|11|Minimal|https://dph.georgia.gov/flu-activity-georgia|2013-14|Georgia|1|Mar-15-2014
Influenza Surveillance|11|Minimal|http://adph.org/influenza/|2013-14|Alabama|1|Mar-15-2014
Influenza Surveillance Report|11|Minimal|http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx |2013-14|Alaska|1|Mar-15-2014
Communicable Disease and Immunizations|11|Minimal|http://www.healthy.arkansas.gov/programs-services/topics/influenza|2013-14|Arkansas|1|Mar-15-2014
Influenza (Flu)|11|Minimal|https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx|2013-14|California|1|Mar-15-2014
Influenza Update|10|Minimal|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2013-14|Washington|1|Mar-08-2014
Current Influenza Surveillance|10|Minimal|http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx|2013-14|West Virginia|1|Mar-08-2014
Influenza|9|Minimal|https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/influenza/influenza-reports/|2013-14|Wyoming|1|Mar-01-2014
Influenza|11|Minimal|http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx|2013-14|Idaho|1|Mar-15-2014
Seasonal Influenza Surveillance Reports|11|Minimal|http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance|2013-14|Illinois|1|Mar-15-2014
Influenza in Indiana|11|Minimal|http://www.in.gov/isdh/22104.htm|2013-14|Indiana|1|Mar-15-2014
Iowa Influenza Surveillance Network|11|Minimal|http://idph.iowa.gov/influenza/surveillance|2013-14|Iowa|1|Mar-15-2014
Flu Statistics|11|Minimal|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2013-14|Connecticut|1|Mar-15-2014
Influenza - Flu|11|Minimal|http://chfs.ky.gov/dph/epi/Influenza.htm|2013-14|Kentucky|1|Mar-15-2014
Weekly Surveillance Updates|11|Minimal|http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml|2013-14|Maine|1|Mar-15-2014
Influenza Surveillance|11|Minimal|https://phpa.health.maryland.gov/influenza/fluwatch|2013-14|Maryland|1|Mar-15-2014
Mississippi Flu Surveillance and Influenza-Like Illness Reports|11|Minimal|http://www.msdh.state.ms.us/msdhsite/_static/14,0,199,230.html|2013-14|Mississippi|1|Mar-15-2014
Influenza: What You Need to Know|11|Minimal|http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx|2013-14|Montana|1|Mar-15-2014
Weekly Flu Report|11|Minimal|http://dhhs.ne.gov/publichealth/Pages/flu.aspx|2013-14|Nebraska|1|Mar-15-2014
Weekly Influenza Surveillance Reports|10|Minimal|http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html |2013-14|Florida|1|Mar-08-2014
Weekly Influenza Surveillance in Georgia|10|Minimal|https://dph.georgia.gov/flu-activity-georgia|2013-14|Georgia|1|Mar-08-2014
Influenza (Flu)|10|Minimal|https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx|2013-14|California|1|Mar-08-2014
Influenza|10|Minimal|http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx|2013-14|Idaho|1|Mar-08-2014
Seasonal Influenza Surveillance Reports|10|Minimal|http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance|2013-14|Illinois|1|Mar-08-2014
Influenza in Indiana|10|Minimal|http://www.in.gov/isdh/22104.htm|2013-14|Indiana|1|Mar-08-2014
Iowa Influenza Surveillance Network|10|Minimal|http://idph.iowa.gov/influenza/surveillance|2013-14|Iowa|1|Mar-08-2014
Weekly Surveillance Updates|10|Minimal|http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml|2013-14|Maine|1|Mar-08-2014
Influenza Surveillance|10|Minimal|https://phpa.health.maryland.gov/influenza/fluwatch|2013-14|Maryland|1|Mar-08-2014
Influenza: What You Need to Know|10|Minimal|http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx|2013-14|Montana|1|Mar-08-2014
Weekly Flu Report|10|Minimal|http://dhhs.ne.gov/publichealth/Pages/flu.aspx|2013-14|Nebraska|1|Mar-08-2014
Influenza (Flu): Surveillance, News Releases and Brochures|10|Minimal|http://dpbh.nv.gov/Programs/OPHIE/dta/Publications/Public_Health_Informatics_and_Epidemiology_(OPHIE)_-_Publications/|2013-14|Nevada|1|Mar-08-2014
Influenza Control and Surveillance|10|Minimal|http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm|2013-14|New Hampshire|1|Mar-08-2014
Flu in New Mexico|10|Minimal|https://nmhealth.org/about/erd/ideb/isp/|2013-14|New Mexico|1|Mar-08-2014
Influenza Activity, Surveillance and Reports|10|Minimal|http://www.health.ny.gov/diseases/communicable/influenza/surveillance/|2013-14|New York|1|Mar-08-2014
North Carolina Influenza Update|10|Minimal|http://www.flu.nc.gov/ |2013-14|North Carolina|1|Mar-08-2014
Influenza|10|Minimal|http://www.ndflu.com/default.aspx|2013-14|North Dakota|1|Mar-08-2014
Influenza Information|10|Minimal|http://www.flu.ohio.gov |2013-14|Ohio|1|Mar-08-2014
Influenza Disease Surveillance Data|10|Minimal|http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx|2013-14|Oregon|1|Mar-08-2014
Influenza Weekly Report |10|Minimal|http://www.flufreepa.com|2013-14|Pennsylvania|1|Mar-08-2014
Influenza Surveillance|10|Minimal|http://www.health.ri.gov/data/flu/index.php|2013-14|Rhode Island|1|Mar-08-2014
Influenza Activity and Surveillance|10|Minimal|http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/|2013-14|South Carolina|1|Mar-08-2014
Influenza-Like Illness Surveillance Summary Archive|10|Minimal|http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html|2013-14|Tennessee|1|Mar-08-2014
Influenza Update|9|Minimal|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2013-14|Washington|1|Mar-01-2014
Current Influenza Surveillance|9|Minimal|http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx|2013-14|West Virginia|1|Mar-01-2014
Influenza Surveillance|10|Minimal|http://adph.org/influenza/|2013-14|Alabama|1|Mar-08-2014
Influenza Surveillance Report|10|Minimal|http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx |2013-14|Alaska|1|Mar-08-2014
Influenza Disease Surveillance Data|9|Minimal|http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx|2013-14|Oregon|1|Mar-01-2014
Influenza Weekly Report |9|Minimal|http://www.flufreepa.com|2013-14|Pennsylvania|1|Mar-01-2014
Influenza Surveillance|9|Minimal|http://www.health.ri.gov/data/flu/index.php|2013-14|Rhode Island|1|Mar-01-2014
Influenza Activity and Surveillance|9|Minimal|http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/|2013-14|South Carolina|1|Mar-01-2014
Influenza-Like Illness Surveillance Summary Archive|9|Minimal|http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html|2013-14|Tennessee|1|Mar-01-2014
Weekly Surveillance Updates|9|Minimal|http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml|2013-14|Maine|1|Mar-01-2014
Influenza Surveillance|9|Minimal|https://phpa.health.maryland.gov/influenza/fluwatch|2013-14|Maryland|1|Mar-01-2014
Influenza Activity and Surveillance|9|Minimal|http://www.michigan.gov/mdch/0,1607,7-132-2940_2955_22779_40563_48357-191722--,00.html|2013-14|Michigan|1|Mar-01-2014
Influenza: What You Need to Know|9|Minimal|http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx|2013-14|Montana|1|Mar-01-2014
Weekly Flu Report|9|Minimal|http://dhhs.ne.gov/publichealth/Pages/flu.aspx|2013-14|Nebraska|1|Mar-01-2014
Influenza Control and Surveillance|9|Minimal|http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm|2013-14|New Hampshire|1|Mar-01-2014
Flu in New Mexico|9|Minimal|https://nmhealth.org/about/erd/ideb/isp/|2013-14|New Mexico|1|Mar-01-2014
Influenza Activity, Surveillance and Reports|9|Minimal|http://www.health.ny.gov/diseases/communicable/influenza/surveillance/|2013-14|New York|1|Mar-01-2014
North Carolina Influenza Update|9|Minimal|http://www.flu.nc.gov/ |2013-14|North Carolina|1|Mar-01-2014
Influenza|9|Minimal|http://www.ndflu.com/default.aspx|2013-14|North Dakota|1|Mar-01-2014
Influenza Information|9|Minimal|http://www.flu.ohio.gov |2013-14|Ohio|1|Mar-01-2014
Weekly Influenza Surveillance Reports|9|Minimal|http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html |2013-14|Florida|1|Mar-01-2014
Weekly Influenza Surveillance in Georgia|9|Minimal|https://dph.georgia.gov/flu-activity-georgia|2013-14|Georgia|1|Mar-01-2014
Influenza|9|Minimal|http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx|2013-14|Idaho|1|Mar-01-2014
Seasonal Influenza Surveillance Reports|9|Minimal|http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance|2013-14|Illinois|1|Mar-01-2014
Influenza in Indiana|9|Minimal|http://www.in.gov/isdh/22104.htm|2013-14|Indiana|1|Mar-01-2014
Iowa Influenza Surveillance Network|9|Minimal|http://idph.iowa.gov/influenza/surveillance|2013-14|Iowa|1|Mar-01-2014
Communicable Disease and Immunizations|9|Minimal|http://www.healthy.arkansas.gov/programs-services/topics/influenza|2013-14|Arkansas|1|Mar-01-2014
Influenza Surveillance|9|Minimal|http://adph.org/influenza/|2013-14|Alabama|1|Mar-01-2014
Influenza Surveillance Report|9|Minimal|http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx |2013-14|Alaska|1|Mar-01-2014
Current Influenza Surveillance|8|Minimal|http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx|2013-14|West Virginia|1|Feb-22-2014
Influenza Disease Surveillance Data|8|Minimal|http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx|2013-14|Oregon|1|Feb-22-2014
Influenza Surveillance|8|Minimal|http://www.health.ri.gov/data/flu/index.php|2013-14|Rhode Island|1|Feb-22-2014
Influenza Activity and Surveillance|8|Minimal|http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/|2013-14|South Carolina|1|Feb-22-2014
Influenza Surveillance|8|Minimal|http://adph.org/influenza/|2013-14|Alabama|1|Feb-22-2014
Influenza Surveillance Report|8|Minimal|http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx |2013-14|Alaska|1|Feb-22-2014
Weekly Influenza Surveillance in Georgia|8|Minimal|https://dph.georgia.gov/flu-activity-georgia|2013-14|Georgia|1|Feb-22-2014
Influenza|8|Minimal|http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx|2013-14|Idaho|1|Feb-22-2014
Seasonal Influenza Surveillance Reports|8|Minimal|http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance|2013-14|Illinois|1|Feb-22-2014
Influenza in Indiana|8|Minimal|http://www.in.gov/isdh/22104.htm|2013-14|Indiana|1|Feb-22-2014
Iowa Influenza Surveillance Network|8|Minimal|http://idph.iowa.gov/influenza/surveillance|2013-14|Iowa|1|Feb-22-2014
Influenza Surveillance|8|Minimal|https://phpa.health.maryland.gov/influenza/fluwatch|2013-14|Maryland|1|Feb-22-2014
Influenza: What You Need to Know|8|Minimal|http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx|2013-14|Montana|1|Feb-22-2014
Weekly Flu Report|8|Minimal|http://dhhs.ne.gov/publichealth/Pages/flu.aspx|2013-14|Nebraska|1|Feb-22-2014
Influenza (Flu): Surveillance, News Releases and Brochures|8|Minimal|http://dpbh.nv.gov/Programs/OPHIE/dta/Publications/Public_Health_Informatics_and_Epidemiology_(OPHIE)_-_Publications/|2013-14|Nevada|1|Feb-22-2014
Influenza Control and Surveillance|8|Minimal|http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm|2013-14|New Hampshire|1|Feb-22-2014
Influenza Activity, Surveillance and Reports|8|Minimal|http://www.health.ny.gov/diseases/communicable/influenza/surveillance/|2013-14|New York|1|Feb-22-2014
North Carolina Influenza Update|8|Minimal|http://www.flu.nc.gov/ |2013-14|North Carolina|1|Feb-22-2014
Influenza|8|Minimal|http://www.ndflu.com/default.aspx|2013-14|North Dakota|1|Feb-22-2014
Influenza Information|8|Minimal|http://www.flu.ohio.gov |2013-14|Ohio|1|Feb-22-2014
Weekly Influenza Surveillance in Georgia|7|Minimal|https://dph.georgia.gov/flu-activity-georgia|2013-14|Georgia|1|Feb-15-2014
Influenza|7|Minimal|http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx|2013-14|Idaho|1|Feb-15-2014
Seasonal Influenza Surveillance Reports|7|Minimal|http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance|2013-14|Illinois|1|Feb-15-2014
Influenza in Indiana|7|Minimal|http://www.in.gov/isdh/22104.htm|2013-14|Indiana|1|Feb-15-2014
Iowa Influenza Surveillance Network|7|Minimal|http://idph.iowa.gov/influenza/surveillance|2013-14|Iowa|1|Feb-15-2014
Weekly Surveillance Updates|7|Minimal|http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml|2013-14|Maine|1|Feb-15-2014
Influenza: What You Need to Know|7|Minimal|http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx|2013-14|Montana|1|Feb-15-2014
Weekly Flu Report|7|Minimal|http://dhhs.ne.gov/publichealth/Pages/flu.aspx|2013-14|Nebraska|1|Feb-15-2014
Influenza Control and Surveillance|7|Minimal|http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm|2013-14|New Hampshire|1|Feb-15-2014
Influenza|7|Minimal|http://www.ndflu.com/default.aspx|2013-14|North Dakota|1|Feb-15-2014
Influenza Information|7|Minimal|http://www.flu.ohio.gov |2013-14|Ohio|1|Feb-15-2014
Influenza Disease Surveillance Data|7|Minimal|http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx|2013-14|Oregon|1|Feb-15-2014
Influenza: What You Need to Know|6|Minimal|http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx|2013-14|Montana|1|Feb-08-2014
Influenza Control and Surveillance|6|Minimal|http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm|2013-14|New Hampshire|1|Feb-08-2014
Influenza|6|Minimal|http://www.ndflu.com/default.aspx|2013-14|North Dakota|1|Feb-08-2014
Influenza Information|6|Minimal|http://www.flu.ohio.gov |2013-14|Ohio|1|Feb-08-2014
Influenza Disease Surveillance Data|6|Minimal|http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx|2013-14|Oregon|1|Feb-08-2014
Weekly Influenza Surveillance in Georgia|6|Minimal|https://dph.georgia.gov/flu-activity-georgia|2013-14|Georgia|1|Feb-08-2014
Influenza|6|Minimal|http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx|2013-14|Idaho|1|Feb-08-2014
Iowa Influenza Surveillance Network|6|Minimal|http://idph.iowa.gov/influenza/surveillance|2013-14|Iowa|1|Feb-08-2014
Weekly Surveillance Updates|4|Minimal|http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml|2013-14|Maine|1|Jan-25-2014
Influenza: What You Need to Know|4|Minimal|http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx|2013-14|Montana|1|Jan-25-2014
Influenza Control and Surveillance|4|Minimal|http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm|2013-14|New Hampshire|1|Jan-25-2014
Iowa Influenza Surveillance Network|5|Minimal|http://idph.iowa.gov/influenza/surveillance|2013-14|Iowa|1|Feb-01-2014
Influenza: What You Need to Know|5|Minimal|http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx|2013-14|Montana|1|Feb-01-2014
Influenza Control and Surveillance|5|Minimal|http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm|2013-14|New Hampshire|1|Feb-01-2014
Influenza|5|Minimal|http://www.ndflu.com/default.aspx|2013-14|North Dakota|1|Feb-01-2014
Influenza Disease Surveillance Data|5|Minimal|http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx|2013-14|Oregon|1|Feb-01-2014
Iowa Influenza Surveillance Network|4|Minimal|http://idph.iowa.gov/influenza/surveillance|2013-14|Iowa|1|Jan-25-2014
Influenza|3|Minimal|http://www.ndflu.com/default.aspx|2013-14|North Dakota|1|Jan-18-2014
Flu Statistics|3|Minimal|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2013-14|Connecticut|1|Jan-18-2014
Iowa Influenza Surveillance Network|3|Minimal|http://idph.iowa.gov/influenza/surveillance|2013-14|Iowa|1|Jan-18-2014
Weekly Surveillance Updates|3|Minimal|http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml|2013-14|Maine|1|Jan-18-2014
Influenza: What You Need to Know|3|Minimal|http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx|2013-14|Montana|1|Jan-18-2014
Influenza Control and Surveillance|3|Minimal|http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm|2013-14|New Hampshire|1|Jan-18-2014
Flu Statistics|2|Minimal|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2013-14|Connecticut|1|Jan-11-2014
Influenza Control and Surveillance|1|Minimal|http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm|2013-14|New Hampshire|1|Jan-04-2014
Iowa Influenza Surveillance Network|2|Minimal|http://idph.iowa.gov/influenza/surveillance|2013-14|Iowa|1|Jan-11-2014
Weekly Surveillance Updates|2|Minimal|http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml|2013-14|Maine|1|Jan-11-2014
Influenza Control and Surveillance|2|Minimal|http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm|2013-14|New Hampshire|1|Jan-11-2014
Influenza Activity, Surveillance and Reports|2|Minimal|http://www.health.ny.gov/diseases/communicable/influenza/surveillance/|2013-14|New York|1|Jan-11-2014
Influenza|2|Minimal|http://www.ndflu.com/default.aspx|2013-14|North Dakota|1|Jan-11-2014
Influenza Surveillance|52|Minimal|http://www.health.ri.gov/data/flu/index.php|2013-14|Rhode Island|1|Dec-28-2013
Flu Statistics|1|Minimal|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2013-14|Connecticut|1|Jan-04-2014
Iowa Influenza Surveillance Network|1|Minimal|http://idph.iowa.gov/influenza/surveillance|2013-14|Iowa|1|Jan-04-2014
Weekly Surveillance Updates|1|Minimal|http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml|2013-14|Maine|1|Jan-04-2014
Flu Statistics|52|Minimal|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2013-14|Connecticut|1|Dec-28-2013
Hawaii's Influenza Surveillance Program|52|Minimal|http://health.hawaii.gov/docd/resources/reports/influenza-reports/|2013-14|Hawaii|1|Dec-28-2013
Iowa Influenza Surveillance Network|52|Minimal|http://idph.iowa.gov/influenza/surveillance|2013-14|Iowa|1|Dec-28-2013
Weekly Surveillance Updates|52|Minimal|http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml|2013-14|Maine|1|Dec-28-2013
Influenza Control and Surveillance|52|Minimal|http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm|2013-14|New Hampshire|1|Dec-28-2013
Influenza Update|51|Minimal|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2013-14|Washington|1|Dec-21-2013
Current Influenza Surveillance|51|Minimal|http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx|2013-14|West Virginia|1|Dec-21-2013
Tracking Influenza in Wisconsin|51|Minimal|http://www.dhs.wisconsin.gov/communicable/influenza/index.htm|2013-14|Wisconsin|1|Dec-21-2013
Influenza|51|Minimal|https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/influenza/influenza-reports/|2013-14|Wyoming|1|Dec-21-2013
Weekly Surveillance Updates|51|Minimal|http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml|2013-14|Maine|1|Dec-21-2013
Influenza Surveillance|51|Minimal|https://phpa.health.maryland.gov/influenza/fluwatch|2013-14|Maryland|1|Dec-21-2013
Influenza: What You Need to Know|51|Minimal|http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx|2013-14|Montana|1|Dec-21-2013
Weekly Flu Report|51|Minimal|http://dhhs.ne.gov/publichealth/Pages/flu.aspx|2013-14|Nebraska|1|Dec-21-2013
Influenza Control and Surveillance|51|Minimal|http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm|2013-14|New Hampshire|1|Dec-21-2013
Influenza Activity, Surveillance and Reports|51|Minimal|http://www.health.ny.gov/diseases/communicable/influenza/surveillance/|2013-14|New York|1|Dec-21-2013
Influenza|51|Minimal|http://www.ndflu.com/default.aspx|2013-14|North Dakota|1|Dec-21-2013
Influenza Information|51|Minimal|http://www.flu.ohio.gov |2013-14|Ohio|1|Dec-21-2013
Influenza Weekly Report |51|Minimal|http://www.flufreepa.com|2013-14|Pennsylvania|1|Dec-21-2013
Influenza Surveillance|51|Minimal|http://www.health.ri.gov/data/flu/index.php|2013-14|Rhode Island|1|Dec-21-2013
Flu Activity|50|Minimal|http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance|2013-14|Vermont|1|Dec-14-2013
Influenza Update|50|Minimal|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2013-14|Washington|1|Dec-14-2013
Current Influenza Surveillance|50|Minimal|http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx|2013-14|West Virginia|1|Dec-14-2013
Influenza Disease Surveillance Data|50|Minimal|http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx|2013-14|Oregon|1|Dec-14-2013
Influenza Weekly Report |50|Minimal|http://www.flufreepa.com|2013-14|Pennsylvania|1|Dec-14-2013
Influenza Surveillance|50|Minimal|http://www.health.ri.gov/data/flu/index.php|2013-14|Rhode Island|1|Dec-14-2013
Influenza|50|Minimal|http://www.ndflu.com/default.aspx|2013-14|North Dakota|1|Dec-14-2013
Influenza Information|50|Minimal|http://www.flu.ohio.gov |2013-14|Ohio|1|Dec-14-2013
Influenza Information|50|Minimal|http://doh.sd.gov/diseases/infectious/flu/default.aspx|2013-14|South Dakota|1|Dec-14-2013
Influenza|50|Minimal|https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/influenza/influenza-reports/|2013-14|Wyoming|1|Dec-14-2013
Flu Statistics|51|Minimal|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2013-14|Connecticut|1|Dec-21-2013
Iowa Influenza Surveillance Network|51|Minimal|http://idph.iowa.gov/influenza/surveillance|2013-14|Iowa|1|Dec-21-2013
Influenza & RSV Surveillance|50|Minimal|http://www.azdhs.gov/phs/oids/epi/flu/index.htm|2013-14|Arizona|1|Dec-14-2013
Communicable Disease and Immunizations|50|Minimal|http://www.healthy.arkansas.gov/programs-services/topics/influenza|2013-14|Arkansas|1|Dec-14-2013
Influenza (Flu)|50|Minimal|https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx|2013-14|California|1|Dec-14-2013
Flu Statistics|50|Minimal|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2013-14|Connecticut|1|Dec-14-2013
Weekly Influenza Surveillance Reports|50|Minimal|http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html |2013-14|Florida|1|Dec-14-2013
Influenza|50|Minimal|http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx|2013-14|Idaho|1|Dec-14-2013
